epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59176,1.18843,1.41774,1.22262,0.73103,0.57567,0.67162,0.50776,1.06624,1.01119,1.1084,8.33e-06,8.33e-06,8.33e-06
2,12.1544,1.18556,1.27189,1.2241,0.73195,0.59568,0.68577,0.51687,1.05708,0.97698,1.0993,1.74966e-05,1.74966e-05,1.74966e-05
3,17.436,1.24111,1.30816,1.26247,0.74507,0.60792,0.69591,0.52576,1.04778,0.96082,1.09467,2.62861e-05,2.62861e-05,2.62861e-05
4,22.5116,1.12049,1.17562,1.21888,0.78511,0.61076,0.70505,0.53344,1.04293,0.94286,1.09075,3.46987e-05,3.46987e-05,3.46987e-05
5,27.7699,1.15759,1.1464,1.21517,0.80634,0.62176,0.72013,0.54753,1.03543,0.92854,1.08446,4.27343e-05,4.27343e-05,4.27343e-05
6,33.0017,1.07856,1.12188,1.17812,0.78417,0.64858,0.72859,0.54936,1.03019,0.91286,1.07634,5.03929e-05,5.03929e-05,5.03929e-05
7,38.1127,1.17811,1.16401,1.20748,0.76245,0.6569,0.73553,0.5534,1.02407,0.89023,1.06878,5.76745e-05,5.76745e-05,5.76745e-05
8,43.1857,1.09137,1.11064,1.17156,0.78463,0.65843,0.73982,0.56349,1.01678,0.8709,1.06319,6.45792e-05,6.45792e-05,6.45792e-05
9,48.517,1.04698,1.06085,1.17074,0.8045,0.67651,0.74881,0.57204,1.00827,0.84858,1.05861,7.11068e-05,7.11068e-05,7.11068e-05
10,53.6014,1.10141,1.0232,1.14717,0.81531,0.67531,0.75321,0.57362,0.9991,0.82993,1.05084,7.72574e-05,7.72574e-05,7.72574e-05
11,58.627,1.05774,1.01388,1.1418,0.83845,0.68385,0.76309,0.58654,0.98606,0.81081,1.04521,8.30311e-05,8.30311e-05,8.30311e-05
12,63.5827,1.13041,1.05625,1.15739,0.82724,0.68361,0.76096,0.58681,0.97897,0.79571,1.04154,8.84277e-05,8.84277e-05,8.84277e-05
13,68.5858,1.05698,1.03435,1.16762,0.82739,0.69279,0.76493,0.59036,0.98003,0.7817,1.03894,9.07256e-05,9.07256e-05,9.07256e-05
14,73.7258,1.06709,1.01387,1.14199,0.82358,0.69859,0.77,0.59788,0.97315,0.76894,1.03513,8.83694e-05,8.83694e-05,8.83694e-05
15,78.6504,1.06694,0.98814,1.16189,0.82622,0.70233,0.77582,0.60337,0.9625,0.75521,1.02993,8.60132e-05,8.60132e-05,8.60132e-05
16,83.7198,0.99464,0.92712,1.10556,0.83944,0.69705,0.77869,0.6077,0.95049,0.74315,1.0257,8.3657e-05,8.3657e-05,8.3657e-05
17,88.7643,1.00496,0.93774,1.11628,0.82738,0.70327,0.78159,0.61095,0.93793,0.73268,1.01991,8.13008e-05,8.13008e-05,8.13008e-05
18,93.7727,1.03276,1.00042,1.1432,0.83747,0.70261,0.78294,0.6155,0.92699,0.72215,1.01517,7.89446e-05,7.89446e-05,7.89446e-05
19,98.8044,1.03634,0.92132,1.12128,0.83209,0.71389,0.78845,0.62184,0.92069,0.71538,1.01142,7.65884e-05,7.65884e-05,7.65884e-05
20,103.874,0.98853,0.91507,1.10271,0.8504,0.70795,0.79923,0.62284,0.91111,0.70441,1.00853,7.42322e-05,7.42322e-05,7.42322e-05
21,108.856,0.98667,0.88979,1.09907,0.85016,0.70736,0.79879,0.62615,0.89944,0.6959,1.00362,7.1876e-05,7.1876e-05,7.1876e-05
22,113.869,0.97108,0.85883,1.08634,0.86422,0.70998,0.80155,0.6313,0.89421,0.68703,1.00131,6.95198e-05,6.95198e-05,6.95198e-05
23,118.919,1.01973,0.8964,1.11537,0.85876,0.70598,0.80441,0.63922,0.88918,0.67785,0.99767,6.71636e-05,6.71636e-05,6.71636e-05
24,145.508,0.93738,0.86091,1.08613,0.86653,0.70758,0.80565,0.6392,0.88536,0.67396,0.99438,6.48074e-05,6.48074e-05,6.48074e-05
25,150.724,1.01086,0.87872,1.07942,0.82223,0.73642,0.80875,0.64383,0.88083,0.66614,0.99208,6.24512e-05,6.24512e-05,6.24512e-05
26,155.738,0.98113,0.84352,1.07992,0.85989,0.73356,0.81586,0.65032,0.87479,0.6565,0.98863,6.0095e-05,6.0095e-05,6.0095e-05
27,160.789,0.97942,0.84031,1.08,0.87,0.73778,0.81533,0.65123,0.87059,0.64986,0.98539,5.77388e-05,5.77388e-05,5.77388e-05
28,165.818,0.98205,0.88701,1.09259,0.86788,0.73524,0.81609,0.65545,0.86725,0.64557,0.98355,5.53826e-05,5.53826e-05,5.53826e-05
29,170.851,0.99058,0.87475,1.08985,0.86708,0.74039,0.81887,0.65911,0.86289,0.6434,0.98167,5.30264e-05,5.30264e-05,5.30264e-05
30,175.805,0.87896,0.79137,1.06348,0.86259,0.7438,0.81842,0.66163,0.85506,0.63864,0.97727,5.06702e-05,5.06702e-05,5.06702e-05
31,180.86,0.91566,0.79495,1.06989,0.85312,0.74227,0.82134,0.66393,0.85032,0.63353,0.97556,4.8314e-05,4.8314e-05,4.8314e-05
32,186.044,0.98699,0.86932,1.09001,0.84112,0.75133,0.82875,0.6655,0.84368,0.62768,0.97307,4.59578e-05,4.59578e-05,4.59578e-05
33,191.086,0.94713,0.82497,1.08455,0.85873,0.74241,0.83187,0.66462,0.84112,0.62537,0.97207,4.36016e-05,4.36016e-05,4.36016e-05
